"activity_name" "subject" "Frequency_BodyAcc_Mean_X" "Frequency_BodyAcc_Mean_Y" "Frequency_BodyAcc_Mean_Z" "Frequency_BodyAcc_StandardDeviation_X" "Frequency_BodyAcc_StandardDeviation_Y" "Frequency_BodyAcc_StandardDeviation_Z" "Frequency_BodyAccJerk_Mean_X" "Frequency_BodyAccJerk_Mean_Y" "Frequency_BodyAccJerk_Mean_Z" "Frequency_BodyAccJerk_StandardDeviation_X" "Frequency_BodyAccJerk_StandardDeviation_Y" "Frequency_BodyAccJerk_StandardDeviation_Z" "Frequency_BodyAccMag_Mean" "Frequency_BodyAccMag_StandardDeviation" "Frequency_BodyBodyAccJerkMag_Mean" "Frequency_BodyBodyAccJerkMag_StandardDeviation" "Frequency_BodyBodyGyroJerkMag_Mean" "Frequency_BodyBodyGyroJerkMag_StandardDeviation" "Frequency_BodyBodyGyroMag_Mean" "Frequency_BodyBodyGyroMag_StandardDeviation" "Frequency_BodyGyro_Mean_X" "Frequency_BodyGyro_Mean_Y" "Frequency_BodyGyro_Mean_Z" "Frequency_BodyGyro_StandardDeviation_X" "Frequency_BodyGyro_StandardDeviation_Y" "Frequency_BodyGyro_StandardDeviation_Z" "Time_BodyAcc_Mean_X" "Time_BodyAcc_Mean_Y" "Time_BodyAcc_Mean_Z" "Time_BodyAcc_StandardDeviation_X" "Time_BodyAcc_StandardDeviation_Y" "Time_BodyAcc_StandardDeviation_Z" "Time_BodyAccJerk_Mean_X" "Time_BodyAccJerk_Mean_Y" "Time_BodyAccJerk_Mean_Z" "Time_BodyAccJerk_StandardDeviation_X" "Time_BodyAccJerk_StandardDeviation_Y" "Time_BodyAccJerk_StandardDeviation_Z" "Time_BodyAccJerkMag_Mean" "Time_BodyAccJerkMag_StandardDeviation" "Time_BodyAccMag_Mean" "Time_BodyAccMag_StandardDeviation" "Time_BodyGyro_Mean_X" "Time_BodyGyro_Mean_Y" "Time_BodyGyro_Mean_Z" "Time_BodyGyro_StandardDeviation_X" "Time_BodyGyro_StandardDeviation_Y" "Time_BodyGyro_StandardDeviation_Z" "Time_BodyGyroJerk_Mean_X" "Time_BodyGyroJerk_Mean_Y" "Time_BodyGyroJerk_Mean_Z" "Time_BodyGyroJerk_StandardDeviation_X" "Time_BodyGyroJerk_StandardDeviation_Y" "Time_BodyGyroJerk_StandardDeviation_Z" "Time_BodyGyroJerkMag_Mean" "Time_BodyGyroJerkMag_StandardDeviation" "Time_BodyGyroMag_Mean" "Time_BodyGyroMag_StandardDeviation" "Time_GravityAcc_Mean_X" "Time_GravityAcc_Mean_Y" "Time_GravityAcc_Mean_Z" "Time_GravityAcc_StandardDeviation_X" "Time_GravityAcc_StandardDeviation_Y" "Time_GravityAcc_StandardDeviation_Z" "Time_GravityAccMag_Mean" "Time_GravityAccMag_StandardDeviation"
"LAYING" 1 -0.6487645164 -0.632661534523333 -0.690432759111111 -0.688491055311111 -0.646386830033333 -0.692454419533333 -0.812211061111111 -0.72802120285 -0.688509824022222 -0.701933972791111 -0.740776917315 -0.695854664866667 -0.723227885368 -0.6661998429 -0.740835759184444 -0.70398625536 -0.756022004111111 -0.741755300733333 -0.671357851156667 -0.706469946955556 -0.6465228098 -0.685417206336667 -0.670879968320667 -0.574668525721333 -0.649328567751667 -0.733375231166667 -0.693434391942222 -0.653422286853333 -0.721134086616667 -0.687796350711111 -0.679675793866667 -0.7189255029 -0.587148871817778 -0.641190543792667 -0.686234192725 -0.699520708535556 -0.68223349088 -0.711135088483167 -0.715199096806667 -0.699247231561667 -0.69848245454 -0.716665218066667 -0.601299872488889 -0.577889388417778 -0.645230562766667 -0.667957966955556 -0.623356204797778 -0.66975226105 -0.657523822508889 -0.635726392148889 -0.644228524973333 -0.756800435266667 -0.786757141646667 -0.715307249783333 -0.645700040783333 -0.674103511584444 -0.643335520666667 -0.639050758177778 -0.697089816844444 -0.623681621606667 -0.628242812047833 -0.699385490888889 -0.737491974088889 -0.6808981348 -0.665358170283333 -0.640753156822222
"LAYING" 2 -0.782188122 -0.809002238020833 -0.809938564414035 -0.828794022153846 -0.74151935375 -0.763961110708772 -0.690004049376923 -0.721665995495833 -0.715935881947368 -0.709919385836154 -0.6976831648125 -0.696895528298246 -0.79547230611282 -0.7688381957125 -0.818200787929825 -0.738922147820513 -0.666271800974359 -0.706976670308333 -0.744027025708333 -0.761776155192982 -0.693749497230769 -0.698689199614583 -0.723001093089474 -0.807858872641026 -0.755103473791667 -0.808345752408772 -0.679361241712281 -0.716390784271795 -0.7289417215625 -0.736077319769474 -0.741489165682051 -0.750577547360417 -0.764777149035088 -0.73556745298718 -0.736776371708333 -0.741432180385965 -0.674590464710256 -0.766324097395833 -0.725912841702564 -0.731496785 -0.707668787509474 -0.679760788730769 -0.732302535817544 -0.771908544430769 -0.784215671991667 -0.756163205145614 -0.80292174105641 -0.7567077734375 -0.775030680175439 -0.79353444 -0.712672747395833 -0.747076858685965 -0.700947077389744 -0.681564190845833 -0.789611135708333 -0.776094280792982 -0.712272726359649 -0.793015218194872 -0.746802419717544 -0.7908287924 -0.72621930040625 -0.786831054350877 -0.729303542333333 -0.718780677325 -0.684508988247917 -0.690046815545614
"LAYING" 3 -0.720175223214286 -0.709379572382407 -0.736082558416667 -0.743972886241667 -0.732499825559259 -0.737690886770833 -0.736120197988095 -0.808760537314815 -0.713311244956042 -0.728750448000833 -0.776396147037037 -0.729033789958333 -0.711610578392857 -0.688269528759259 -0.720619325708333 -0.696390313595238 -0.749647738059524 -0.753014530166667 -0.700518942388889 -0.801244051083333 -0.733997987630952 -0.709356022148148 -0.685446150395833 -0.704685451094048 -0.650437255859259 -0.712667848020833 -0.66192102325 -0.738999872380952 -0.706580555222222 -0.732533196875 -0.74762521997619 -0.666711964759259 -0.743919453716667 -0.732727115310714 -0.816462535953704 -0.775828687708333 -0.736005812782143 -0.778872877524074 -0.754501641438095 -0.817031660538889 -0.749876436420833 -0.747613396370238 -0.748855268647917 -0.712830484592857 -0.721123206487037 -0.75983825411875 -0.747713470622619 -0.703292127398148 -0.745479871266667 -0.734575124080952 -0.739905963659259 -0.7670828565875 -0.765718194317857 -0.845740059709259 -0.706674797681481 -0.746997194885417 -0.72933009460625 -0.714555945641667 -0.68762657159375 -0.713759932290476 -0.637032970087787 -0.7201445715 -0.685246356858333 -0.72240065367963 -0.844549718055556 -0.8330823052875
"LAYING" 4 -0.686220792385 -0.718349623333333 -0.725500004964397 -0.708056153642963 -0.720551539782222 -0.774344725669841 -0.738682756007407 -0.78256159016 -0.759353482253968 -0.753249338574074 -0.802599593824444 -0.808522448265079 -0.707446496803704 -0.726550356406667 -0.73073794491746 -0.727902575301852 -0.690553024777778 -0.761730267028889 -0.68746510904 -0.716125581918571 -0.785226330540741 -0.86235229538 -0.819610737653968 -0.773966795037037 -0.734813096 -0.744856889006349 -0.736221914501587 -0.728045052338889 -0.741021641044444 -0.744479002660159 -0.690658545018519 -0.708533956111111 -0.6799840761 -0.669186588564815 -0.688844266288889 -0.726430637365079 -0.715641781944444 -0.775509836733333 -0.735822954703704 -0.832693718555556 -0.721518966709524 -0.689169627335185 -0.722358723793651 -0.694216305574074 -0.743281120866667 -0.700071104666667 -0.677297106981481 -0.741132975866667 -0.721811903412698 -0.689724789888889 -0.651691026066667 -0.668431455015873 -0.647430698888889 -0.7289107852 -0.803748796564444 -0.742971238285714 -0.791332413587302 -0.758354554874074 -0.725751421063492 -0.685844912407407 -0.688887965333333 -0.693082030619048 -0.628221379688889 -0.670116361133333 -0.754629632955556 -0.751810810518254
"LAYING" 5 -0.76483460592037 -0.728482222040351 -0.787057747711111 -0.736331733851852 -0.736174750387719 -0.789776979411111 -0.74437903492037 -0.748518277219298 -0.752959183488889 -0.793000081425926 -0.819974867268421 -0.758827830931111 -0.786817520311111 -0.753775269824561 -0.809629257685111 -0.773621002224074 -0.783320037483333 -0.781703868152632 -0.776760522045614 -0.797989348348889 -0.792203377881481 -0.781328979770175 -0.710048636824444 -0.743569868325926 -0.766720787107018 -0.778139525511111 -0.74059605286 -0.748857844164074 -0.758045380754211 -0.751722335266667 -0.796703751592593 -0.770109036585965 -0.730715306822222 -0.726274158574074 -0.727766292350877 -0.699032270533333 -0.708158663055556 -0.696929496631579 -0.69472871212963 -0.713350243789474 -0.712041466022222 -0.692075817840741 -0.611360263475555 -0.685706922864815 -0.700471411538596 -0.657165745242222 -0.712299087944444 -0.677673556385965 -0.707216464355556 -0.694840061833333 -0.700757146377193 -0.708988680822222 -0.709555367983333 -0.707825174070175 -0.723175145050877 -0.6771455924 -0.70214774186 -0.737995514753704 -0.740525315477778 -0.781950529537037 -0.769753509439298 -0.770340833624444 -0.762516104020556 -0.750969268008772 -0.714009976175439 -0.678380469133333
"LAYING" 6 -0.708907633488889 -0.69745525015614 -0.6333366393 -0.621936466555556 -0.64393942145614 -0.62131395964 -0.64175815100537 -0.616207038217544 -0.661699581734167 -0.702445280785185 -0.730289253350877 -0.717161728516667 -0.703857257531481 -0.714690742491228 -0.66884901161 -0.692307563831482 -0.618273896427778 -0.664782952054386 -0.725772583487018 -0.657404893766667 -0.73486019237037 -0.771484491736842 -0.7768487094 -0.724712200277778 -0.791775321473684 -0.716808796983333 -0.753656165405 -0.722190227074074 -0.785952403157895 -0.792441000483333 -0.730507149092593 -0.791714737087719 -0.706528294165 -0.652807640425926 -0.704708591070175 -0.704184155463333 -0.657020939183333 -0.71376778885614 -0.712496695611111 -0.72315009777193 -0.669852012553333 -0.663672246033333 -0.771633444968333 -0.730586780564815 -0.806176152415789 -0.767512879036667 -0.725867087083333 -0.771881319894737 -0.757627636953333 -0.739828922494444 -0.760311106673684 -0.689966834471667 -0.668406445166667 -0.628506680017544 -0.791488823322807 -0.738899825421667 -0.7625533157 -0.740649482648148 -0.79344752846 -0.748490533522222 -0.767580479603509 -0.7132902766 -0.705442751274074 -0.662383074150877 -0.719398213614035 -0.726404826166667
"LAYING" 7 -0.772193050037037 -0.720053953333333 -0.768596633094314 -0.706108825294444 -0.711748459137255 -0.754989832933333 -0.716826409274074 -0.700092589470588 -0.764999541117647 -0.742967477333333 -0.778280634980392 -0.783833192307843 -0.732864298296296 -0.677537326303922 -0.716175581713726 -0.649074154605556 -0.650493283487037 -0.688477926564706 -0.656096145198039 -0.722960211631373 -0.790005201555556 -0.786591837392157 -0.732144540888235 -0.761269854611111 -0.739494402588235 -0.714057915176471 -0.685529777941176 -0.721082382183333 -0.756415307805882 -0.703688267196078 -0.776599326188889 -0.770983973764706 -0.690708072235294 -0.664901276659259 -0.720784726901961 -0.694389955813726 -0.678596585603148 -0.698900371056863 -0.760278288425926 -0.770408301284314 -0.727942340266667 -0.69436905537037 -0.669694157588235 -0.737083826140741 -0.751722588372549 -0.713145921490196 -0.763605231592593 -0.700234647554902 -0.720503719882353 -0.713441046112963 -0.683787912927451 -0.713683420058824 -0.697357425724074 -0.689452835598039 -0.772514009439216 -0.752039860533333 -0.732474754372549 -0.771444277227778 -0.696318276313725 -0.738376220851852 -0.726218932705882 -0.716972257890196 -0.69357940087037 -0.684660025372549 -0.750292095705882 -0.732001466264706
"LAYING" 8 -0.665392514313043 -0.665447486777778 -0.757824362538462 -0.726929059588406 -0.786718267018519 -0.697230110717949 -0.747499212413044 -0.71293440942963 -0.718187705128205 -0.772792223318841 -0.718520696285185 -0.722424788112821 -0.694217194757971 -0.690918613703704 -0.767426746720513 -0.768433108228985 -0.825938785258985 -0.755796852585185 -0.769242466222222 -0.787158939760256 -0.727004303985507 -0.664025755944444 -0.712933663589744 -0.665807362991304 -0.743555413553704 -0.734860832368205 -0.777451689369231 -0.707354353043478 -0.753387406037037 -0.729777633769231 -0.663194680381159 -0.68201245887037 -0.775776833394872 -0.773050234666667 -0.71443797415 -0.738081519974359 -0.763890944389855 -0.66053685517963 -0.723824695913043 -0.691096764462963 -0.723034018692308 -0.817334353749275 -0.720718853666667 -0.722676356905797 -0.670024941474074 -0.686347906461538 -0.621999476178261 -0.676181936874074 -0.683947227606154 -0.680344997304348 -0.696852895940741 -0.696413193789744 -0.745386542623188 -0.680349281533333 -0.680611929958518 -0.735188277025641 -0.738669540217949 -0.648484293507246 -0.776771680589744 -0.687414109563768 -0.753566527185185 -0.746986601069231 -0.768856125275362 -0.752504380537037 -0.751154399333333 -0.73057049025641
"LAYING" 9 -0.72911830112963 -0.741880926952941 -0.742177156593333 -0.752585736092593 -0.734791378431373 -0.706367917488889 -0.69499704022963 -0.742931311176471 -0.726884439377778 -0.698817031140741 -0.756260644521569 -0.720304403888889 -0.731948405001852 -0.737880435382353 -0.72925488368 -0.722895966816667 -0.653405008203704 -0.747177001039216 -0.724928553339216 -0.676107416777778 -0.627911026888889 -0.732685102137255 -0.7283067122 -0.74375647987037 -0.751213117588235 -0.750817426293333 -0.733735189889333 -0.735449869781482 -0.743670408686275 -0.712935535453333 -0.711542112781481 -0.715955345866667 -0.74340023446 -0.762764020166667 -0.768530510019608 -0.732941286922222 -0.640430658805556 -0.706563361137255 -0.687396093042593 -0.750666349564706 -0.694963472102222 -0.706801066981481 -0.714134190755556 -0.720558400625926 -0.736746513698039 -0.726626184111111 -0.715445392385185 -0.74514709404902 -0.73839261344 -0.762637235857407 -0.717873148209804 -0.712184774844444 -0.659993784048148 -0.699969537423529 -0.745517707182353 -0.740773607973333 -0.770235102955556 -0.771525313074074 -0.7432530636 -0.771284391290741 -0.740724861145098 -0.717223561266667 -0.723328841037037 -0.735263033941176 -0.760031324568627 -0.718952296622222
"LAYING" 10 -0.678796801883333 -0.67728966362963 -0.731471599848485 -0.699919852448148 -0.710973089774074 -0.707730917298485 -0.730495441442593 -0.728011006796296 -0.722991015906061 -0.720053245687037 -0.729088507518519 -0.709373288972273 -0.749379053277778 -0.745843474259259 -0.804758067919697 -0.773277352077778 -0.750852627907407 -0.776512496037037 -0.78885925677963 -0.79531311569697 -0.749065036240741 -0.79970043012963 -0.768833652621212 -0.773640547259259 -0.761819526537037 -0.769459475424242 -0.767273784545455 -0.749537776185185 -0.770993088944444 -0.743719800513636 -0.729594714996296 -0.758501901407407 -0.771973940480303 -0.777570083703704 -0.785337505007407 -0.771703676624242 -0.805689037711111 -0.843486886637037 -0.697051951062963 -0.721922279833333 -0.714229615712121 -0.715540678759259 -0.794823709287879 -0.817102351274815 -0.829620200905 -0.772189204848485 -0.794040650351852 -0.810112190648148 -0.802009737166667 -0.80173046127037 -0.775297021296296 -0.758320404606061 -0.712303978277778 -0.697113151666667 -0.720126420848148 -0.713313651166667 -0.714589222590909 -0.703688876709259 -0.769438761516212 -0.741022143653704 -0.742512297101852 -0.772065609954242 -0.729606868616667 -0.733487764059259 -0.734545998637778 -0.675113715336364
